mode,model,class,support,precision,recall,f1
image_only,base,foot-and-mouth,30,0.451,0.7667,0.5679
image_only,base,lumpy,30,1.0,0.0667,0.125
image_only,base,healthy,30,0.6667,0.1333,0.2222
image_only,finetuned,foot-and-mouth,30,0.9375,1.0,0.9677
image_only,finetuned,lumpy,30,0.9667,0.9667,0.9667
image_only,finetuned,healthy,30,0.9643,0.9,0.931
symptoms_only,base,foot-and-mouth,30,0.5385,0.9333,0.6829
symptoms_only,base,lumpy,30,0.0,0.0,0.0
symptoms_only,base,healthy,30,1.0,0.3667,0.5366
symptoms_only,finetuned,foot-and-mouth,30,1.0,1.0,1.0
symptoms_only,finetuned,lumpy,30,1.0,1.0,1.0
symptoms_only,finetuned,healthy,30,1.0,1.0,1.0
combined,base,foot-and-mouth,30,0.7436,0.9667,0.8406
combined,base,lumpy,30,1.0,0.0667,0.125
combined,base,healthy,30,0.9545,0.7,0.8077
combined,finetuned,foot-and-mouth,30,1.0,1.0,1.0
combined,finetuned,lumpy,30,1.0,1.0,1.0
combined,finetuned,healthy,30,1.0,1.0,1.0
